,Name,Credits,PreRequisites
53,COP 3530 Data Structures and Algorithm 3 Credits,3 Credits," ,Prerequisite:,  (COP 3504 or COP 3503) and ,COT 3100, and (,MAC 2234, or ,MAC 2312, or ,MAC 2512, or ,MAC 3473,), all with a minimum grade of C.	,"
54,COP 4020 Programming Language Concepts 3 Credits,3 Credits," ,Prerequisite:, ,COP 3530,.	,"
55,COP 4331 Object-oriented Programming 3 Credits,3 Credits," ,Prerequisite:, ,COP 3530,.	,"
56,COP 4533 Algorithm Abstraction and Design 3 Credits,3 Credits," ,Prerequisite:, ,COP 3530,.	,"
57,COP 4600 Operating Systems 3 Credits,3 Credits," ,Prerequisite:, ,CDA 3101, and ,COP 3530,; knowledge of C or C++ recommended.	,"
58,COP 4620 Translators and Translator Writing Systems 3 Credits,3 Credits," ,Prerequisite:, ,COP 3530,.	,"
59,COP 4720 Information and Database Systems 2 3 Credits,3 Credits," ,Prerequisite:, ,CIS 4301, and ,COP 3530,.	,"
60,COT 3100 Applications of Discrete Structures 3 Credits,3 Credits," ,Prerequisite:,  (,MAC 2311, or ,MAC 3472,) and (COP 3502 or equivalent), all with a minimum grades of C; 	,"
61,COT 4501 Numerical Analysis: a Computational Approach 3 Credits,3 Credits," ,Prerequisite:,  (COP 3504 or COP 3503) and ,MAS 3114,.	,"
62,EGN 4912 Engineering Directed Independent Research 0-3 Credits,0-3 Credits," ,Prerequisite:,  (COP 3504 or COP 3503) and ,MAS 3114,.	,"
63,EGS 1005 Prep for Success 1-4 Credits,1-4 Credits," ,Prerequisite:,  EG student.	,"
64,IDC 4710 Virtual Reality for the Social Good 3 Credits,3 Credits," ,Prerequisite:,  Junior or above.	,"
